"REG_CODE";"REG_LIBELLE";"DEP_CODE";"DEP_LIBELLE";"COMM";"TYPE_DAU";"NUM_DAU";"ETAT_DAU";"DATE_REELLE_AUTORISATION";"DATE_REELLE_DOC";"DATE_REELLE_DAACT";"AN_DEPOT";"DPC_PREM";"DPC_AUT";"DPC_DOC";"DPC_DERN";"CAT_DEM";"APE_DEM";"CJ_DEM";"DENOM_DEM";"SIREN_DEM";"SIRET_DEM";"CODPOST_DEM";"LOCALITE_DEM";"REC_ARCHI";"ADR_NUM_TER";"ADR_TYPEVOIE_TER";"ADR_LIBVOIE_TER";"ADR_LIEUDIT_TER";"ADR_LOCALITE_TER";"ADR_CODPOST_TER";"SEC_CADASTRE1";"NUM_CADASTRE1";"SEC_CADASTRE2";"NUM_CADASTRE2";"SEC_CADASTRE3";"NUM_CADASTRE3";"SUPERFICIE_TERRAIN";"ZONE_OP";"NATURE_PROJET_DECLAREE";"NATURE_PROJET_COMPLETEE";"DESTINATION_PRINCIPALE";"TYPE_PRINCIP_LOGTS_CREES";"TYPE_TRANSFO_PRINCIPAL";"TYPE_PRINCIP_LOCAUX_TRANSFORMES";"I_EXTENSION";"I_SURELEVATION";"I_NIVSUPP";"NB_NIV_MAX";"UTILISATION";"RES_PRINCIP_OU_SECOND";"TYP_ANNEXE";"I_PISCINE";"I_GARAGE";"I_VERANDA";"I_ABRI_JARDIN";"I_AUTRE_ANNEXE";"RESIDENCE";"RES_PERS_AGEES";"RES_ETUDIANTS";"RES_TOURISME";"RES_HOTEL_SOCIALE";"RES_SOCIALE";"RES_HANDICAPES";"RES_AUTRE";"NB_LGT_TOT_CREES";"NB_LGT_IND_CREES";"NB_LGT_COL_CREES";"NB_LGT_INDIV_PURS";"NB_LGT_INDIV_GROUPES";"NB_LGT_RES";"NB_LGT_COL_HORS_RES";"NB_LGT_DEMOLIS";"NB_LGT_1P";"NB_LGT_2P";"NB_LGT_3P";"NB_LGT_4P";"NB_LGT_5P";"NB_LGT_6P_PLUS";"NB_LGT_PRET_LOC_SOCIAL";"NB_LGT_ACC_SOC_HORS_PTZ";"NB_LGT_PTZ";"SURF_HAB_AVANT";"SURF_HAB_CREEE";"SURF_HAB_ISSUE_TRANSFO";"SURF_HAB_DEMOLIE";"SURF_HAB_TRANSFORMEE";"SURF_LOC_AVANT";"SURF_LOC_CREEE";"SURF_LOC_ISSUE_TRANSFO";"SURF_LOC_DEMOLIE";"SURF_LOC_TRANSFORMEE";"SURF_HEB_TRANSFORMEE";"SURF_BUR_TRANSFORMEE";"SURF_COM_TRANSFORMEE";"SURF_ART_TRANSFORMEE";"SURF_IND_TRANSFORMEE";"SURF_AGR_TRANSFORMEE";"SURF_ENT_TRANSFORMEE";"SURF_PUB_TRANSFORMEE"
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305111C0105";2;"2013-05-17";;;2011;"2013-05";"2013-05";;"2013-05";50;;;;;;"75008";"PARIS";"true";"4";"RUE";"DE STALINGRAD";;"NOISY LE GRAND";"93160";"AI";"518";"AI";"388";"AI";"387";3112;4;1;1;1;3;;;"false";"false";"false";0;4;1;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";97;0;97;;;;97;0;12;33;35;14;3;0;0;0;0;613;6156;0;613;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305111C0110";6;"2013-06-21";"2013-12-21";"2014-12-08";2011;"2013-06";"2013-06";"2014-12";"2014-12";30;;;;;;"75638";"PARIS CEDEX 13";"false";"48";"AVENU";"GEORGES CLEMENCEAU";;"NOISY LE GRAND";"93160";"AY";"101";"AY";"80";"AY";"81";7947;4;1;1;1;3;;;"false";"false";"false";5;5;3;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";230;0;230;;;;230;0;32;98;85;15;0;0;69;0;0;0;12490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305112C0014";5;"2013-02-04";"2013-04-22";;2012;"2013-02";"2013-02";"2013-06";"2015-01";10;;;;;;"93330";"NEUILLY S/ MARNE";"false";"15 B";"AVENU";"LUCIEN SALLES";;"NOISY LE GRAND";"93160";;;;;;;0;4;1;1;1;2;;;"false";"false";"false";0;5;3;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";2;2;0;;2;;0;0;0;0;0;0;0;0;0;0;0;0;163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305112C0024";2;"2013-04-24";;;2012;"2013-06";"2013-06";;"2016-08";32;;;;;;"95800";"COURDIMANCHE";"false";"24";"AVENU";"LUCIEN SALLES";;"NOISY LE GRAND";"93160";"AO";"229";;;;;605;4;1;1;1;3;;;"false";"false";"false";1;3;1;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";2;0;2;;;;2;0;0;0;0;0;0;0;0;0;0;86;114;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305112C0030";2;"2013-04-30";;;2012;"2013-06";"2013-06";;"2013-09";10;;;;;;"93160";"NOISY-LE-GRAND";"false";"27";"AVENU";"LUCIEN SALLES";;"NOISY LE GRAND";"93160";"AO";"536";;;;;665;4;1;1;1;1;;;"false";"false";"false";1;5;1;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;;;0;0;0;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305112C0035";2;"2013-06-24";;;2012;"2013-06";"2013-06";;"2013-09";10;;;;;;"93160";"NOISY-LE-GRAND";"false";"1";"RUE";"CHAPPE";;"NOISY LE GRAND";"93160";"AL";"354";;;;;808;4;1;1;1;1;;;"false";"false";"false";0;1;1;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;;;0;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305112C0038";5;"2013-04-08";"2013-04-11";;2012;"2013-06";"2013-06";"2013-11";"2013-11";10;;;;;;"93160";"NOISY-LE-GRAND";"false";"4";"RUE";"DES PERVENCHES";;"NOISY LE GRAND";"93160";"AI";"51";;;;;260;4;1;1;1;1;;;"false";"false";"false";1;1;1;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;;;0;0;0;0;0;0;0;0;0;0;0;60;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305112C0044";2;"2016-02-29";;;2012;"2016-02";"2016-02";;"2016-02";32;;;;;;"92100";"BOULOGNE BILLANCOURT";"false";"141";"AVENU";"EMILE COSSONNEAU";;"NOISY LE GRAND";"93160";"AH";"466";"AH";"469";"AH";"463";15051;4;1;1;1;3;;;"false";"false";"false";6;2;1;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";120;0;120;;;;120;0;15;49;39;17;0;0;50;70;0;0;7054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305112C0050";6;"2013-11-12";"2013-11-13";"2021-08-24";2012;"2013-11";"2013-11";"2021-12";"2021-12";10;;;;;;"93160";"NOISY-LE-GRAND";"false";"34";"CHEMI";"DU BEL AIR";;"NOISY LE GRAND";"93160";"BD";"120";;;;;363;4;1;1;1;2;;;"false";"false";"false";2;5;1;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";2;2;0;;2;;0;0;0;0;0;0;0;0;0;0;0;50;169;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305112C0053";2;"2013-07-12";;;2012;"2015-02";"2015-02";;"2015-02";90;;;;;;"93160";"NOISY LE GRAND";"false";"111";"AV";"MEDERIC";;"NOISY LE GRAND";"93160";"AM";"266";;;;;319;4;2;3;1;3;2;1;"true";"false";"false";0;5;3;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";5;0;5;;;;5;0;4;1;0;0;0;0;0;0;0;112;57;112;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0
